p	invgam	alpha	pinvgam
.3	644.311	658.		.300007
0.7	671.206	658.		.699997
.3	983.178	1000.		.299995
0.7	1016.34	1000.		.700019
.3	1369.22	1389.		.300029
0.7	1408.30	1389.		.700002
.3	5959.14	6000.		.300001
0.7	6040.38	6000.		.700014
.3	6312.96	6355.		.300021
0.7	6396.56	6355.		.699994
.3	9947.32	10000.		.300003
0.7	10052.2	10000.		.700009
.3	11944.3	12002.		.299971
0.7	12059.2	12002.		.699977
.3	59871.3	60000.		.299990
0.7	60128.2	60000.		.699987
.3	68131.7	68269.		.299945
0.7	68405.8	68269.		.700033
.22264	.0	.0001		.0
0.77736	.0	.0001		.0
.22264	.0	.0006		.0
0.77736	.0	.0006		.0
.22264	.0	.001		.0
0.77736	.0	.001		.0
.22264	.0	.006		.0
0.77736	.332522E-18	.006		.777360
.22264	.325981E-65	.01		.222640
0.77736	.653269E-11	.01		.777360
.22264	.788620E-11	.06		.222640
0.77736	.892967E-2	.06		.777360
.22264	.181735E-6	.1		.222640
0.77736	.512434E-1	.1		.777360
.22264	.708335E-1	.6		.222640
0.77736	.904068	.6		.777360
.22264	.251852	1.		.222640
0.77736	1.50220	1.		.777360
.22264	4.04942	6.		.222641
0.77736	7.67706	6.		.777361
.22264	7.49167	10.		.222640
0.77736	12.2329	10.		.777363
.22264	11.0423	14.		.222641
0.77736	16.6814	14.		.777358
.22264	53.9661	60.		.222639
0.77736	65.7561	60.		.777361
.22264	57.7716	64.		.222638
0.77736	69.9505	64.		.777359
.22264	92.2416	100.		.222642
0.77736	107.480	100.		.777346
.22264	186.157	197.		.222638
0.77736	207.565	197.		.777364
.22264	581.169	600.		.222636
0.77736	618.552	600.		.777354
.22264	592.983	612.		.222637
0.77736	630.739	612.		.777365
.22264	975.727	1000.		.222637
0.77736	1023.99	1000.		.777318
.22264	1185.29	1212.		.222630
0.77736	1238.43	1212.		.777355
.22264	5940.74	6000.		.222651
0.77736	6058.98	6000.		.777342
.22264	6894.19	6958.		.222635
0.77736	7021.53	6958.		.777359
.22264	9923.53	10000.		.222636
0.77736	10076.2	10000.		.777389
.22264	17273.2	17374.		.222527
0.77736	17474.5	17374.		.777424
.22264	59812.9	60000.		.222652
0.77736	60186.8	60000.		.777321
.22264	63896.6	64090.		.222614
0.77736	64283.1	64090.		.777361
.2	.0	.0001		.0
0.8	.0	.0001		.0
.2	.0	.0006		.0
0.8	.0	.0006		.0
.2	.0	.001		.0
0.8	.691293E-97	.001		.800000
.2	.0	.006		.0
0.8	.397912E-16	.006		.800000
.2	.717584E-70	.01		.200000
0.8	.115311E-9	.01		.800000
.2	.132022E-11	.06		.200000
0.8	.144842E-1	.06		.800000
.2	.621880E-7	.1		.200000
0.8	.693899E-1	.1		.800000
.2	.588034E-1	.6		.200000
0.8	.988992	.6		.800000
.2	.223144	1.		.200000
0.8	1.60944	1.		.800000
.2	3.90366	6.		.199999
0.8	7.90599	6.		.800000
.2	7.28922	10.		.200000
0.8	12.5188	10.		.800004
.2	13.4691	17.		.199997
0.8	20.3378	17.		.799999
.2	53.4028	60.		.200000
0.8	66.4031	60.		.799999
.2	60.0320	67.		.200001
0.8	73.7739	67.		.799999
.2	91.5014	100.		.200000
0.8	108.304	100.		.799990
.2	183.161	195.		.200005
0.8	206.645	195.		.800002
.2	579.293	600.		.199996
0.8	620.512	600.		.799998
.2	581.259	602.		.200000
0.8	622.547	602.		.800005
.2	973.293	1000.		.200000
0.8	1026.51	1000.		.799978
.2	1287.35	1318.		.199981
0.8	1348.45	1318.		.799976
.2	5934.71	6000.		.199989
0.8	6065.09	6000.		.799991
.2	6686.73	6756.		.200008
0.8	6825.08	6756.		.800007
.2	9915.74	10000.		.199994
0.8	10084.1	10000.		.800102
.2	12335.1	12429.		.200062
0.8	12522.7	12429.		.799925
.2	59793.7	60000.		.199944
0.8	60206.1	60000.		.800050
.2	65678.9	65895.		.200045
0.8	66110.9	65895.		.799949
.149475	.0	.0001		.0
0.850525	.0	.0001		.0
.149475	.0	.0006		.0
0.850525	.0	.0006		.0
.149475	.0	.001		.0
0.850525	.273375E-70	.001		.850525
.149475	.0	.006		.0
0.850525	.107804E-11	.006		.850525
.149475	.162080E-82	.01		.149475
0.850525	.526722E-7	.01		.850525
.149475	.103028E-13	.06		.149475
0.850525	.412090E-1	.06		.850525
.149475	.338137E-8	.1		.149475
0.850525	.135607	.1		.850525
.149475	.356802E-1	.6		.149475
0.850525	1.22484	.6		.850525
.149475	.161901	1.		.149475
0.850525	1.90063	1.		.850526
.149475	3.55304	6.		.149476
0.850525	8.50163	6.		.850525
.149475	6.79643	10.		.149475
0.850525	13.2574	10.		.850525
.149475	6.79643	10.		.149475
0.850525	13.2574	10.		.850525
.149475	52.0028	60.		.149474
0.850525	68.0500	60.		.850526
.149475	60.4190	69.		.149476
0.850525	77.6338	69.		.850525
.149475	89.6566	100.		.149476
0.850525	110.396	100.		.850522
.149475	119.153	131.		.149476
0.850525	142.900	131.		.850530
.149475	574.591	600.		.149478
0.850525	625.462	600.		.850526
.149475	579.485	605.		.149476
0.850525	630.568	605.		.850528
.149475	967.186	1000.		.149479
0.850525	1032.87	1000.		.850546
.149475	1401.60	1441.		.149464
0.850525	1480.45	1441.		.850520
.149475	5919.57	6000.		.149469
0.850525	6080.48	6000.		.850524
.149475	6828.65	6915.		.149462
0.850525	7001.40	6915.		.850531
.149475	9896.16	10000.		.149477
0.850525	10103.9	10000.		.850540
.149475	15591.8	15722.		.149495
0.850525	15852.3	15722.		.850593
.149475	59745.6	60000.		.149474
0.850525	60254.5	60000.		.850571
.149475	60931.1	61188.		.149480
0.850525	61445.0	61188.		.850565
.1	.0	.0001		.0
0.9	.0	.0001		.0
.1	.0	.0006		.0
0.9	.306936E-76	.0006		.900000
.1	.0	.001		.0
0.9	.982166E-46	.001		.900000
.1	.0	.006		.0
0.9	.133416E-7	.006		.900000
.1	.0	.01		.0
0.9	.150359E-4	.01		.900000
.1	.126906E-16	.06		.100000
0.9	.112876	.06		.900000
.1	.607305E-10	.1		.100000
0.9	.266155	.1		.900000
.1	.180604E-1	.6		.999999E-1
0.9	1.56050	.6		.900000
.1	.105361	1.		.100000
0.9	2.30259	1.		.900000
.1	3.15190	6.		.100000
0.9	9.27467	6.		.900000
.1	6.22130	10.		.999996E-1
0.9	14.2060	10.		.900000
.1	10.2996	15.		.999990E-1
0.9	20.1280	15.		.900000
.1	50.3118	60.		.999996E-1
0.9	70.1163	60.		.900000
.1	52.1473	62.		.999993E-1
0.9	72.2808	62.		.900000
.1	87.4176	100.		.999993E-1
0.9	113.011	100.		.900008
.1	133.586	149.		.999940E-1
0.9	164.842	149.		.900003
.1	568.830	600.		.999968E-1
0.9	631.598	600.		.900001
.1	591.234	623.		.999980E-1
0.9	655.194	623.		.900000
.1	959.694	1000.		.100000
0.9	1040.73	1000.		.899977
.1	1426.98	1476.		.999837E-1
0.9	1525.44	1476.		.899979
.1	5900.95	6000.		.100005
0.9	6099.48	6000.		.900000
.1	6303.64	6406.		.999904E-1
0.9	6508.78	6406.		.899992
.1	9872.06	10000.		.999985E-1
0.9	10128.4	10000.		.900057
.1	18553.8	18729.		.999611E-1
0.9	18904.6	18729.		.900002
.1	59686.3	60000.		.999999E-1
0.9	60314.1	60000.		.899980
.1	63944.3	64269.		.999830E-1
0.9	64594.1	64269.		.899997
.0912469	.0	.0001		.0
0.9087531	.0	.0001		.0
.0912469	.0	.0006		.0
0.9087531	.310963E-69	.0006		.908753
.0912469	.0	.001		.0
0.9087531	.156885E-41	.001		.908753
.0912469	.0	.006		.0
0.9087531	.669534E-7	.006		.908753
.0912469	.0	.01		.0
0.9087531	.395804E-4	.01		.908753
.0912469	.275708E-17	.06		.912469E-1
0.9087531	.135315	.06		.908753
.0912469	.242990E-10	.1		.912469E-1
0.9087531	.301723	.1		.908753
.0912469	.154784E-1	.6		.912468E-1
0.9087531	1.63833	.6		.908753
.0912469	.956818E-1	1.		.912469E-1
0.9087531	2.39419	1.		.908753
.0912469	3.07102	6.		.912469E-1
0.9087531	9.44441	6.		.908753
.0912469	6.10369	10.		.912469E-1
0.9087531	14.4129	10.		.908754
.0912469	8.50545	13.		.912467E-1
0.9087531	18.0115	13.		.908753
.0912469	49.9576	60.		.912460E-1
0.9087531	70.5602	60.		.908752
.0912469	52.7020	63.		.912461E-1
0.9087531	73.8159	63.		.908754
.0912469	86.9472	100.		.912474E-1
0.9087531	113.571	100.		.908756
.0912469	90.6828	104.		.912471E-1
0.9087531	117.835	104.		.908750
.0912469	567.612	600.		.912440E-1
0.9087531	632.906	600.		.908755
.0912469	583.180	616.		.912484E-1
0.9087531	649.338	616.		.908751
.0912469	958.108	1000.		.912450E-1
0.9087531	1042.41	1000.		.908754
.0912469	1470.26	1522.		.912666E-1
0.9087531	1574.26	1522.		.908742
.0912469	5897.00	6000.		.912494E-1
0.9087531	6103.52	6000.		.908755
.0912469	6587.17	6696.		.912393E-1
0.9087531	6805.34	6696.		.908744
.0912469	9866.95	10000.		.912479E-1
0.9087531	10133.6	10000.		.908804
.0912469	10830.6	10970.		.911942E-1
0.9087531	11109.9	10970.		.908777
.0912469	59673.7	60000.		.912372E-1
0.9087531	60326.8	60000.		.908751
.0912469	63671.0	64008.		.912572E-1
0.9087531	64345.5	64008.		.908731
.09	.0	.0001		.0
0.91	.0	.0001		.0
.09	.0	.0006		.0
0.91	.305623E-68	.0006		.910000
.09	.0	.001		.0
0.91	.618113E-41	.001		.910000
.09	.0	.006		.0
0.91	.841435E-7	.006		.910000
.09	.0	.01		.0
0.91	.453975E-4	.01		.910000
.09	.219208E-17	.06		.900000E-1
0.91	.138881	.06		.910000
.09	.211754E-10	.1		.900000E-1
0.91	.307239	.1		.910000
.09	.151242E-1	.6		.900001E-1
0.91	1.65006	.6		.910000
.09	.943107E-1	1.		.900000E-1
0.91	2.40795	1.		.910000
.09	3.05916	6.		.899996E-1
0.91	9.46973	6.		.910000
.09	6.08640	10.		.900001E-1
0.91	14.4437	10.		.910000
.09	11.7843	17.		.900007E-1
0.91	22.7465	17.		.909999
.09	49.9053	60.		.899998E-1
0.91	70.6262	60.		.910000
.09	51.7332	62.		.899992E-1
0.91	72.7983	62.		.910001
.09	86.8776	100.		.899996E-1
0.91	113.654	100.		.910000
.09	118.762	134.		.899971E-1
0.91	149.769	134.		.909994
.09	567.432	600.		.899992E-1
0.91	633.100	600.		.910003
.09	588.835	622.		.899980E-1
0.91	655.696	622.		.909997
.09	957.874	1000.		.900021E-1
0.91	1042.66	1000.		.910009
.09	1248.99	1297.		.900210E-1
0.91	1345.55	1297.		.910016
.09	5896.41	6000.		.899917E-1
0.91	6104.12	6000.		.910005
.09	6197.82	6304.		.900095E-1
0.91	6410.72	6304.		.910007
.09	9866.19	10000.		.899962E-1
0.91	10134.3	10000.		.909937
.09	18687.1	18871.		.900174E-1
0.91	19055.4	18871.		.909946
.09	59671.9	60000.		.900332E-1
0.91	60328.7	60000.		.910012
.09	60036.8	60366.		.899669E-1
0.91	60695.7	60366.		.910012
.0808389	.0	.0001		.0
0.9191611	.0	.0001		.0
.0808389	.0	.0006		.0
0.9191611	.543993E-61	.0006		.919161
.0808389	.0	.001		.0
0.9191611	.138456E-36	.001		.919161
.0808389	.0	.006		.0
0.9191611	.446747E-6	.006		.919161
.0808389	.0	.01		.0
0.9191611	.123620E-3	.01		.919161
.0808389	.366287E-18	.06		.808389E-1
0.9191611	.168439	.06		.919161
.0808389	.723787E-11	.1		.808389E-1
0.9191611	.351770	.1		.919161
.0808389	.126268E-1	.6		.808390E-1
0.9191611	1.74188	.6		.919161
.0808389	.842939E-1	1.		.808389E-1
0.9191611	2.51530	1.		.919161
.0808389	2.96914	6.		.808387E-1
0.9191611	9.66569	6.		.919161
.0808389	5.95467	10.		.808389E-1
0.9191611	14.6819	10.		.919161
.0808389	10.7699	16.		.808399E-1
0.9191611	21.8676	16.		.919160
.0808389	49.5045	60.		.808391E-1
0.9191611	71.1341	60.		.919161
.0808389	52.2362	63.		.808391E-1
0.9191611	74.4024	63.		.919161
.0808389	86.3445	100.		.808396E-1
0.9191611	114.294	100.		.919157
.0808389	149.250	167.		.808428E-1
0.9191611	185.389	167.		.919160
.0808389	566.048	600.		.808385E-1
0.9191611	634.591	600.		.919162
.0808389	637.022	673.		.808381E-1
0.9191611	709.617	673.		.919162
.0808389	956.071	1000.		.808382E-1
0.9191611	1044.57	1000.		.919171
.0808389	1875.73	1937.		.808313E-1
0.9191611	1998.91	1937.		.919172
.0808389	5891.92	6000.		.808369E-1
0.9191611	6108.72	6000.		.919165
.0808389	6122.84	6233.		.808462E-1
0.9191611	6343.80	6233.		.919156
.0808389	9860.38	10000.		.808444E-1
0.9191611	10140.3	10000.		.919217
.0808389	18194.6	18384.		.808693E-1
0.9191611	18574.1	18384.		.919198
.0808389	59657.5	60000.		.808228E-1
0.9191611	60343.1	60000.		.919153
.0808389	69301.9	69671.		.808210E-1
0.9191611	70040.7	69671.		.919157
.08	.0	.0001		.0
0.92	.0	.0001		.0
.08	.0	.0006		.0
0.92	.248835E-60	.0006		.920000
.08	.0	.001		.0
0.92	.344749E-36	.001		.920000
.08	.0	.006		.0
0.92	.520108E-6	.006		.920000
.08	.0	.01		.0
0.92	.135430E-3	.01		.920000
.08	.307832E-18	.06		.800000E-1
0.92	.171473	.06		.920000
.08	.652089E-11	.1		.800000E-1
0.92	.356236	.1		.920000
.08	.124075E-1	.6		.800002E-1
0.92	1.75084	.6		.920000
.08	.833816E-1	1.		.800000E-1
0.92	2.52573	1.		.920000
.08	2.96062	6.		.799999E-1
0.92	9.68459	6.		.920000
.08	5.94216	10.		.800000E-1
0.92	14.7049	10.		.920002
.08	11.5783	17.		.800007E-1
0.92	23.0698	17.		.920001
.08	49.4662	60.		.799995E-1
0.92	71.1829	60.		.920001
.08	53.1085	64.		.800001E-1
0.92	75.5406	64.		.920000
.08	86.2935	100.		.799997E-1
0.92	114.356	100.		.920004
.08	149.182	167.		.799960E-1
0.92	185.467	167.		.920000
.08	565.916	600.		.800022E-1
0.92	634.734	600.		.920001
.08	643.692	680.		.799973E-1
0.92	716.957	680.		.920000
.08	955.899	1000.		.800016E-1
0.92	1044.75	1000.		.919996
.08	1110.52	1158.		.800146E-1
0.92	1206.13	1158.		.919988
.08	5891.49	6000.		.799983E-1
0.92	6109.16	6000.		.920003
.08	6167.99	6279.		.800016E-1
0.92	6390.66	6279.		.919999
.08	9859.82	10000.		.800007E-1
0.92	10140.8	10000.		.919956
.08	11203.6	11353.		.799781E-1
0.92	11503.0	11353.		.919953
.08	59656.2	60000.		.800276E-1
0.92	60344.5	60000.		.920003
.08	68273.2	68641.		.799973E-1
0.92	69009.4	68641.		.919975
.0738961	.0	.0001		.0
0.9261039	.0	.0001		.0
.0738961	.0	.0006		.0
0.9261039	.152191E-55	.0006		.926104
.0738961	.0	.001		.0
0.9261039	.256678E-33	.001		.926104
.0738961	.0	.006		.0
0.9261039	.156582E-5	.006		.926104
.0738961	.0	.01		.0
0.9261039	.262396E-3	.01		.926104
.0738961	.820049E-19	.06		.738961E-1
0.9261039	.195486	.06		.926104
.0738961	.294864E-11	.1		.738961E-1
0.9261039	.390988	.1		.926104
.0738961	.108597E-1	.6		.738962E-1
0.9261039	1.81911	.6		.926104
.0738961	.767688E-1	1.		.738961E-1
0.9261039	2.60510	1.		.926104
.0738961	2.89704	6.		.738957E-1
0.9261039	9.82760	6.		.926104
.0738961	5.84860	10.		.738961E-1
0.9261039	14.8783	10.		.926105
.0738961	11.4442	17.		.738983E-1
0.9261039	23.2840	17.		.926104
.0738961	49.1789	60.		.738970E-1
0.9261039	71.5506	60.		.926104
.0738961	50.9931	62.		.738956E-1
0.9261039	73.7363	62.		.926103
.0738961	85.9108	100.		.738962E-1
0.9261039	114.819	100.		.926106
.0738961	97.9976	113.		.738963E-1
0.9261039	128.732	113.		.926103
.0738961	564.920	600.		.738978E-1
0.9261039	635.810	600.		.926103
.0738961	593.073	629.		.738970E-1
0.9261039	665.657	629.		.926104
.0738961	954.601	1000.		.738952E-1
0.9261039	1046.13	1000.		.926109
.0738961	1740.93	1802.		.739008E-1
0.9261039	1863.80	1802.		.926100
.0738961	5888.25	6000.		.738881E-1
0.9261039	6112.48	6000.		.926112
.0738961	6104.24	6218.		.739036E-1
0.9261039	6332.49	6218.		.926097
.0738961	9855.63	10000.		.738968E-1
0.9261039	10145.1	10000.		.926103
.0738961	15449.4	15630.		.738782E-1
0.9261039	15811.3	15630.		.926088
.0738961	59645.8	60000.		.738772E-1
0.9261039	60354.9	60000.		.926106
.0738961	66780.3	67155.		.739020E-1
0.9261039	67530.4	67155.		.926082
.07	.0	.0001		.0
0.93	.0	.0001		.0
.07	.0	.0006		.0
0.93	.166385E-52	.0006		.930000
.07	.0	.001		.0
0.93	.170854E-31	.001		.930000
.07	.0	.006		.0
0.93	.315221E-5	.006		.930000
.07	.0	.01		.0
0.93	.399337E-3	.01		.930000
.07	.332492E-19	.06		.700000E-1
0.93	.212800	.06		.930000
.07	.171549E-11	.1		.700000E-1
0.93	.415474	.1		.930000
.07	.991643E-2	.6		.700000E-1
0.93	1.86587	.6		.930000
.07	.725707E-1	1.		.700000E-1
0.93	2.65926	1.		.930000
.07	2.85488	6.		.699997E-1
0.93	9.92442	6.		.930000
.07	5.78633	10.		.700000E-1
0.93	14.9955	10.		.930000
.07	6.55583	11.		.699997E-1
0.93	16.2263	11.		.930000
.07	48.9865	60.		.700010E-1
0.93	71.7983	60.		.930000
.07	57.1574	69.		.700008E-1
0.93	81.6275	69.		.930001
.07	85.6543	100.		.699995E-1
0.93	115.131	100.		.930004
.07	108.910	125.		.699954E-1
0.93	141.875	125.		.930003
.07	564.251	600.		.699980E-1
0.93	636.534	600.		.930000
.07	605.978	643.		.699993E-1
0.93	680.807	643.		.929999
.07	953.730	1000.		.699988E-1
0.93	1047.05	1000.		.929979
.07	1693.57	1755.		.699919E-1
0.93	1817.21	1755.		.929991
.07	5886.08	6000.		.699984E-1
0.93	6114.70	6000.		.929993
.07	6738.16	6860.		.699959E-1
0.93	6982.62	6860.		.929995
.07	9852.82	10000.		.700061E-1
0.93	10148.0	10000.		.930040
.07	18744.3	18947.		.700450E-1
0.93	19150.5	18947.		.929970
.07	59638.9	60000.		.700000E-1
0.93	60361.9	60000.		.930008
.07	69390.5	69780.		.699746E-1
0.93	70170.2	69780.		.929982
.0627722	.0	.0001		.0
0.9372278	.0	.0001		.0
.0627722	.0	.0006		.0
0.9372278	.668041E-47	.0006		.937228
.0627722	.0	.001		.0
0.9372278	.393403E-28	.001		.937228
.0627722	.0	.006		.0
0.9372278	.114548E-4	.006		.937228
.0627722	.0	.01		.0
0.9372278	.866486E-3	.01		.937228
.0627722	.540676E-20	.06		.627722E-1
0.9372278	.249853	.06		.937228
.0627722	.576873E-12	.1		.627722E-1
0.9372278	.466552	.1		.937228
.0627722	.826080E-2	.6		.627722E-1
0.9372278	1.96033	.6		.937228
.0627722	.648289E-1	1.		.627722E-1
0.9372278	2.76824	1.		.937228
.0627722	2.77290	6.		.627720E-1
0.9372278	10.1174	6.		.937227
.0627722	5.66472	10.		.627724E-1
0.9372278	15.2287	10.		.937227
.0627722	7.97859	13.		.627723E-1
0.9372278	18.9159	13.		.937227
.0627722	48.6080	60.		.627726E-1
0.9372278	72.2892	60.		.937228
.0627722	52.2180	64.		.627716E-1
0.9372278	76.6791	64.		.937227
.0627722	85.1494	100.		.627723E-1
0.9372278	115.748	100.		.937228
.0627722	96.2552	112.		.627721E-1
0.9372278	128.642	112.		.937225
.0627722	562.933	600.		.627724E-1
0.9372278	637.965	600.		.937229
.0627722	606.551	645.		.627724E-1
0.9372278	684.347	645.		.937229
.0627722	952.012	1000.		.627727E-1
0.9372278	1048.89	1000.		.937243
.0627722	1183.58	1237.		.627878E-1
0.9372278	1291.32	1237.		.937221
.0627722	5881.79	6000.		.627720E-1
0.9372278	6119.11	6000.		.937231
.0627722	6858.41	6986.		.627712E-1
0.9372278	7114.49	6986.		.937232
