p	invchi	df	pinvchi	
0.9191611	16.7181	10	.919161
.0808389	8.85761	16	.808388E-1
0.9191611	24.4143	16	.919162
.0808389	45.3795	60	.808389E-1
0.9191611	75.8969	60	.919161
.0808389	47.9992	63	.808383E-1
0.9191611	79.2772	63	.919161
.0808389	80.9027	100	.808389E-1
0.9191611	120.374	100	.919158
.0808389	142.106	167	.808418E-1
0.9191611	193.172	167	.919163
.0808389	552.183	600	.808383E-1
0.9191611	649.095	600	.919162
.0808389	622.317	673	.808372E-1
0.9191611	724.960	673	.919159
.0808389	938.071	1000	.808385E-1
0.9191611	1063.21	1000	.919172
.0808389	1850.55	1937	.808447E-1
0.9191611	2024.73	1937	.919161
.0808389	5847.34	6000	.808334E-1
0.9191611	6153.93	6000	.919156
.0808389	6077.40	6233	.808450E-1
0.9191611	6389.88	6233	.919158
.0808389	9802.73	10000	.808365E-1
0.9191611	10198.5	10000	.919113
.0808389	18116.3	18384	.808400E-1
0.9191611	18653.0	18384	.919177
.0808389	59515.9	60000	.808575E-1
0.9191611	60485.4	60000	.919152
.0808389	69149.2	69671	.808202E-1
0.9191611	70194.0	69671	.919149
.08	.100869E-1	1	.799999E-1
0.92	3.06490	1	.920000
.08	1.99672	6	.800000E-1
0.92	11.2835	6	.920000
.08	4.53505	10	.800000E-1
0.92	16.7535	10	.920001
.08	9.58781	17	.799999E-1
0.92	25.7053	17	.920000
.08	45.3285	60	.800004E-1
0.92	75.9689	60	.920000
.08	48.8215	64	.800004E-1
0.92	80.4760	64	.920000
.08	80.8338	100	.800005E-1
0.92	120.464	100	.919998
.08	142.014	167	.800045E-1
0.92	193.285	167	.920001
.08	551.999	600	.800002E-1
0.92	649.300	600	.920001
.08	628.854	680	.799991E-1
0.92	732.445	680	.920001
.08	937.830	1000	.799991E-1
0.92	1063.47	1000	.920004
.08	1091.05	1158	.800099E-1
0.92	1226.25	1158	.919994
.08	5846.74	6000	.800017E-1
0.92	6154.56	6000	.920000
.08	6122.20	6279	.799991E-1
0.92	6437.10	6279	.920002
.08	9801.95	10000	.800022E-1
0.92	10199.4	10000	.920051
.08	11141.9	11353	.799687E-1
0.92	11565.4	11353	.920032
.08	59513.9	60000	.799911E-1
0.92	60487.4	60000	.920009
.08	68121.1	68641	.800200E-1
0.92	69162.2	68641	.919981
.0738961	.860216E-2	1	.738961E-1
0.9261039	3.19428	1	.926104
.0738961	1.92908	6	.738959E-1
0.9261039	11.5077	6	.926103
.0738961	4.42575	10	.738961E-1
0.9261039	17.0212	10	.926104
.0738961	9.42149	17	.738960E-1
0.9261039	26.0311	17	.926104
.0738961	44.9457	60	.738962E-1
0.9261039	76.5122	60	.926104
.0738961	46.6825	62	.738965E-1
0.9261039	78.7755	62	.926104
.0738961	80.3161	100	.738958E-1
0.9261039	121.143	100	.926108
.0738961	92.0231	113	.738966E-1
0.9261039	135.436	113	.926106
.0738961	550.614	600	.738957E-1
0.9261039	650.846	600	.926106
.0738961	578.416	629	.738953E-1
0.9261039	681.043	629	.926102
.0738961	936.019	1000	.738962E-1
0.9261039	1065.44	1000	.926102
.0738961	1715.85	1802	.738904E-1
0.9261039	1889.61	1802	.926110
.0738961	5842.19	6000	.739023E-1
0.9261039	6159.27	6000	.926098
.0738961	6057.33	6218	.738955E-1
0.9261039	6380.13	6218	.926105
.0738961	9796.05	10000	.739002E-1
0.9261039	10205.4	10000	.926090
.0738961	15374.8	15630	.738709E-1
0.9261039	15886.6	15630	.926082
.0738961	59499.3	60000	.738769E-1
0.9261039	60502.1	60000	.926099
.0738961	66625.3	67155	.738985E-1
0.9261039	67686.2	67155	.926117
.07	.771672E-2	1	.700000E-1
0.93	3.28302	1	.930000
.07	1.88460	6	.700001E-1
0.93	11.6599	6	.929999
.07	4.35339	10	.699999E-1
0.93	17.2026	10	.930001
.07	5.02397	11	.699998E-1
0.93	18.5334	11	.929999
.07	44.6898	60	.700000E-1
0.93	76.8786	60	.930000
.07	52.5150	69	.700006E-1
0.93	87.0537	69	.930000
.07	79.9697	100	.700003E-1
0.93	121.600	100	.930003
.07	102.500	125	.699957E-1
0.93	149.069	125	.929999
.07	549.685	600	.699995E-1
0.93	651.885	600	.929999
.07	590.884	643	.699994E-1
0.93	696.686	643	.929999
.07	934.804	1000	.700015E-1
0.93	1066.77	1000	.930009
.07	1668.37	1755	.700117E-1
0.93	1843.21	1755	.930010
.07	5839.13	6000	.700029E-1
0.93	6162.44	6000	.929997
.07	6687.93	6860	.700011E-1
0.93	7033.64	6860	.929998
.07	9792.08	10000	.699976E-1
0.93	10209.5	10000	.930011
.07	18660.5	18947	.699956E-1
0.93	19235.1	18947	.930024
.07	59489.6	60000	.700161E-1
0.93	60512.0	60000	.929995
.07	69229.5	69780	.700125E-1
0.93	70332.1	69780	.929998
.0627722	.620229E-2	1	.627722E-1
0.9372278	3.46258	1	.937228
.0627722	1.79897	6	.627722E-1
0.9372278	11.9642	6	.937228
.0627722	4.21298	10	.627720E-1
0.9372278	17.5644	10	.937229
.0627722	6.23381	13	.627722E-1
0.9372278	21.5481	13	.937229
.0627722	44.1874	60	.627726E-1
0.9372278	77.6055	60	.937228
.0627722	47.6348	64	.627719E-1
0.9372278	82.1582	64	.937228
.0627722	79.2885	100	.627727E-1
0.9372278	122.506	100	.937231
.0627722	90.0224	112	.627721E-1
0.9372278	135.772	112	.937230
.0627722	547.854	600	.627737E-1
0.9372278	653.942	600	.937229
.0627722	590.899	645	.627731E-1
0.9372278	700.897	645	.937229
.0627722	932.406	1000	.627713E-1
0.9372278	1069.39	1000	.937230
.0627722	1161.72	1237	.627787E-1
0.9372278	1314.08	1237	.937232
.0627722	5833.09	6000	.627692E-1
0.9372278	6168.70	6000	.937224
.0627722	6805.83	6986	.627746E-1
0.9372278	7167.97	6986	.937230
.0627722	9784.26	10000	.627735E-1
0.9372278	10217.5	10000	.937196
.0627722	16250.4	16528	.627854E-1
0.9372278	16807.4	16528	.937218
.0627722	59470.2	60000	.627612E-1
0.9372278	60531.6	60000	.937240
.0627722	65486.2	66042	.627886E-1
0.9372278	66599.6	66042	.937213
.06	.566555E-2	1	.600000E-1
0.94	3.53738	1	.940000
.06	1.76492	6	.599999E-1
0.94	12.0896	6	.940000
.06	4.15672	10	.599998E-1
0.94	17.7131	10	.940000
.06	5.47998	12	.600000E-1
0.94	20.3934	12	.939999
.06	43.9838	60	.600000E-1
0.94	77.9029	60	.940000
.06	47.4230	64	.599994E-1
0.94	82.4638	64	.940000
.06	79.0121	100	.600003E-1
0.94	122.876	100	.940001
.06	149.651	178	.600008E-1
0.94	208.238	178	.940001
.06	547.109	600	.600013E-1
0.94	654.781	600	.940001
.06	553.795	607	.599991E-1
0.94	662.094	607	.939999
.06	931.431	1000	.600003E-1
0.94	1070.46	1000	.940003
.06	1392.48	1476	.599887E-1
0.94	1561.40	1476	.939990
.06	5830.64	6000	.600053E-1
0.94	6171.25	6000	.939995
.06	5980.49	6152	.599986E-1
0.94	6325.40	6152	.940002
.06	9781.07	10000	.599981E-1
0.94	10220.8	10000	.939986
.06	12212.5	12457	.599680E-1
0.94	12703.3	12457	.939964
.06	59462.4	60000	.600146E-1
0.94	60539.5	60000	.939989
.06	68870.5	69449	.600006E-1
0.94	70029.4	69449	.940003
.0536804	.453323E-2	1	.536804E-1
0.9463196	3.72261	1	.946320
.0536804	1.68440	6	.536807E-1
0.9463196	12.3968	6	.946320
.0536804	4.02265	10	.536806E-1
0.9463196	18.0769	10	.946320
.0536804	8.08422	16	.536805E-1
0.9463196	26.0248	16	.946320
.0536804	43.4932	60	.536803E-1
0.9463196	78.6266	60	.946320
.0536804	51.2119	69	.536800E-1
0.9463196	88.9084	69	.946320
.0536804	78.3451	100	.536804E-1
0.9463196	123.776	100	.946318
.0536804	120.498	147	.536782E-1
0.9463196	175.624	147	.946321
.0536804	545.306	600	.536790E-1
0.9463196	656.817	600	.946320
.0536804	620.747	679	.536818E-1
0.9463196	739.377	679	.946321
.0536804	929.070	1000	.536796E-1
0.9463196	1073.05	1000	.946313
.0536804	1649.98	1744	.536812E-1
0.9463196	1840.14	1744	.946313
.0536804	5824.68	6000	.536767E-1
0.9463196	6177.44	6000	.946320
.0536804	6199.18	6380	.536768E-1
0.9463196	6562.94	6380	.946320
.0536804	9773.35	10000	.536765E-1
0.9463196	10228.8	10000	.946343
.0536804	14522.1	14798	.537055E-1
0.9463196	15076.1	14798	.946343
.0536804	59443.3	60000	.536852E-1
0.9463196	60558.8	60000	.946307
.0536804	64687.3	65268	.536763E-1
0.9463196	65850.8	65268	.946317
.05	.393214E-2	1	.500000E-1
0.95	3.84146	1	.950000
.05	1.63538	6	.499998E-1
0.95	12.5916	6	.950000
.05	3.94030	10	.500000E-1
0.95	18.3070	10	.949999
.05	3.94030	10	.500000E-1
0.95	18.3070	10	.949999
.05	43.1880	60	.500005E-1
0.95	79.0819	60	.950000
.05	47.4496	65	.500002E-1
0.95	84.8206	65	.950000
.05	77.9295	100	.500003E-1
0.95	124.342	100	.949999
.05	108.257	134	.500030E-1
0.95	162.016	134	.950002
.05	544.180	600	.499998E-1
0.95	658.094	600	.950001
.05	557.519	614	.500003E-1
0.95	672.755	614	.950001
.05	927.594	1000	.499991E-1
0.95	1074.68	1000	.950001
.05	1682.04	1779	.500067E-1
0.95	1878.24	1779	.950004
.05	5820.96	6000	.500005E-1
0.95	6181.31	6000	.949996
.05	6520.60	6710	.500035E-1
0.95	6901.68	6710	.950002
.05	9768.53	10000	.500036E-1
0.95	10233.7	10000	.949965
.05	14182.4	14461	.499938E-1
0.95	14741.9	14461	.950022
.05	59431.3	60000	.499864E-1
0.95	60570.9	60000	.949991
.05	66443.8	67045	.499938E-1
0.95	67648.5	67045	.950013
.0498342	.390607E-2	1	.498342E-1
0.9501658	3.84703	1	.950166
.0498342	1.63313	6	.498339E-1
0.9501658	12.6007	6	.950166
.0498342	3.93651	10	.498343E-1
0.9501658	18.3178	10	.950166
.0498342	3.93651	10	.498343E-1
0.9501658	18.3178	10	.950166
.0498342	43.1738	60	.498339E-1
0.9501658	79.1031	60	.950166
.0498342	50.8638	69	.498338E-1
0.9501658	89.4137	69	.950166
.0498342	77.9102	100	.498341E-1
0.9501658	124.368	100	.950163
.0498342	127.195	155	.498322E-1
0.9501658	185.084	155	.950165
.0498342	544.128	600	.498347E-1
0.9501658	658.153	600	.950166
.0498342	614.712	674	.498353E-1
0.9501658	735.569	674	.950166
.0498342	927.526	1000	.498344E-1
0.9501658	1074.75	1000	.950155
.0498342	1487.63	1579	.498349E-1
0.9501658	1672.65	1579	.950163
.0498342	5820.79	6000	.498374E-1
0.9501658	6181.49	6000	.950162
.0498342	6448.45	6637	.498309E-1
0.9501658	6827.83	6637	.950168
.0498342	9768.30	10000	.498334E-1
0.9501658	10234.0	10000	.950180
.0498342	17506.4	17816	.498612E-1
0.9501658	18127.9	17816	.950150
.0498342	59430.8	60000	.498368E-1
0.9501658	60571.5	60000	.950169
.0498342	61299.9	61878	.498242E-1
0.9501658	62458.3	61878	.950152
.04	.251538E-2	1	.400000E-1
0.96	4.21788	1	.960000
.04	1.49237	6	.400002E-1
0.96	13.1978	6	.960000
.04	3.69654	10	.399999E-1
0.96	19.0207	10	.959999
.04	5.58377	13	.400000E-1
0.96	23.1423	13	.960000
.04	42.2656	60	.399998E-1
0.96	80.4820	60	.960000
.04	43.9476	62	.400002E-1
0.96	82.8002	62	.960000
.04	76.6705	100	.400000E-1
0.96	126.079	100	.959998
.04	137.327	168	.400016E-1
0.96	201.425	168	.960002
.04	540.753	600	.400003E-1
0.96	662.000	600	.960001
.04	568.304	629	.399998E-1
0.96	692.449	629	.960001
.04	923.100	1000	.399990E-1
0.96	1079.65	1000	.959996
.04	1468.45	1565	.400071E-1
0.96	1664.31	1565	.960004
.04	5809.61	6000	.400036E-1
0.96	6193.15	6000	.960002
.04	6221.04	6418	.400020E-1
0.96	6617.72	6418	.960003
.04	9753.80	10000	.400015E-1
0.96	10249.0	10000	.960027
.04	12783.4	13065	.400071E-1
0.96	13349.4	13065	.960018
.04	59394.9	60000	.399941E-1
0.96	60607.8	60000	.959993
.04	63817.9	64445	.400095E-1
0.96	65074.9	64445	.960002
.0353536	.196459E-2	1	.353536E-1
0.9646464	4.42802	1	.964647
.0353536	1.41974	6	.353534E-1
0.9646464	13.5298	6	.964647
.0353536	3.57061	10	.353537E-1
0.9646464	19.4100	10	.964646
.0353536	6.73273	15	.353537E-1
0.9646464	26.2624	15	.964647
.0353536	41.7774	60	.353539E-1
0.9646464	81.2382	60	.964646
.0353536	45.1261	64	.353534E-1
0.9646464	85.8898	64	.964646
.0353536	76.0021	100	.353534E-1
0.9646464	127.016	100	.964646
.0353536	129.221	160	.353549E-1
0.9646464	193.799	160	.964647
.0353536	538.924	600	.353541E-1
0.9646464	664.098	600	.964647
.0353536	577.819	641	.353529E-1
0.9646464	707.202	641	.964646
.0353536	920.700	1000	.353531E-1
0.9646464	1082.32	1000	.964644
.0353536	1045.61	1130	.353605E-1
0.9646464	1217.42	1130	.964653
.0353536	5803.53	6000	.353520E-1
0.9646464	6199.49	6000	.964647
.0353536	6054.37	6255	.353546E-1
0.9646464	6458.65	6255	.964644
.0353536	9745.92	10000	.353548E-1
0.9646464	10257.1	10000	.964644
.0353536	10098.4	10357	.353561E-1
0.9646464	10618.6	10357	.964632
.0353536	59375.4	60000	.353473E-1
0.9646464	60627.6	60000	.964648
.0353536	69096.4	69770	.353588E-1
0.9646464	70446.6	69770	.964637
.03	.141438E-2	1	.300000E-1
0.97	4.70929	1	.970000
.03	1.32961	6	.300001E-1
0.97	13.9676	6	.970000
.03	3.41207	10	.300000E-1
0.97	19.9219	10	.970000
.03	3.99716	11	.300000E-1
0.97	21.3416	11	.970000
.03	41.1504	60	.300002E-1
0.97	82.2251	60	.970000
.03	43.6402	63	.300000E-1
0.97	85.7356	63	.970000
.03	75.1419	100	.300003E-1
0.97	128.237	100	.970001
.03	131.667	164	.299981E-1
0.97	199.713	164	.970000
.03	536.559	600	.299990E-1
0.97	666.823	600	.970000
.03	569.686	635	.300009E-1
0.97	703.697	635	.970000
.03	917.596	1000	.300002E-1
0.97	1085.79	1000	.970005
.03	1449.88	1553	.299936E-1
0.97	1659.50	1553	.970002
.03	5795.67	6000	.300016E-1
0.97	6207.72	6000	.970003
.03	6147.61	6358	.300001E-1
0.97	6571.77	6358	.969998
.03	9735.71	10000	.299989E-1
0.97	10267.7	10000	.970014
.03	15322.9	15654	.299974E-1
0.97	15988.5	15654	.970009
.03	59350.2	60000	.300064E-1
0.97	60653.2	60000	.969997
.03	64080.8	64756	.299928E-1
0.97	65434.5	64756	.969991
.0276565	.120196E-2	1	.276566E-1
0.9723435	4.84935	1	.972343
.0276565	1.28748	6	.276564E-1
0.9723435	14.1831	6	.972344
.0276565	3.33706	10	.276566E-1
0.9723435	20.1732	10	.972344
.0276565	3.91479	11	.276564E-1
0.9723435	21.6006	11	.972343
.0276565	40.8487	60	.276569E-1
0.9723435	82.7065	60	.972344
.0276565	45.8214	66	.276563E-1
0.9723435	89.7345	66	.972344
.0276565	74.7271	100	.276567E-1
0.9723435	128.831	100	.972342
.0276565	89.5104	117	.276567E-1
0.9723435	148.049	117	.972344
.0276565	535.415	600	.276557E-1
0.9723435	668.147	600	.972343
