p	invt	df	pinvt
.3	-.524521	1389	.300000
0.7	.524428	6000	.700000
.3	-.524428	6000	.300000
0.7	.524427	6355	.700000
.3	-.524427	6355	.300000
0.7	.524417	10000	.700000
.3	-.524417	10000	.300000
0.7	.524414	12002	.700000
.3	-.524414	12002	.300000
0.7	.524403	60000	.700000
.3	-.524403	60000	.300000
0.7	.524403	68269	.700000
.3	-.524403	68269	.300000
0.77736	1.18858	1	.777360
.22264	-1.18858	1	.222640
0.77736	.816753	6	.777360
.22264	-.816753	6	.222640
0.77736	.794626	10	.777360
.22264	-.794626	10	.222640
0.77736	.785450	14	.777360
.22264	-.785450	14	.222640
0.77736	.768372	60	.777360
.22264	-.768372	60	.222640
0.77736	.768054	64	.777360
.22264	-.768054	64	.222640
0.77736	.766339	100	.777360
.22264	-.766339	100	.222640
0.77736	.764843	197	.777360
.22264	-.764843	197	.222640
0.77736	.763811	600	.777360
.22264	-.763811	600	.222640
0.77736	.763801	612	.777360
.22264	-.763801	612	.222640
0.77736	.763610	1000	.777360
.22264	-.763610	1000	.222640
0.77736	.763557	1212	.777360
.22264	-.763557	1212	.222640
0.77736	.763358	6000	.777360
.22264	-.763358	6000	.222640
0.77736	.763351	6958	.777360
.22264	-.763351	6958	.222640
0.77736	.763338	10000	.777360
.22264	-.763338	10000	.222640
0.77736	.763325	17374	.777360
.22264	-.763325	17374	.222640
0.77736	.763313	60000	.777360
.22264	-.763313	60000	.222640
0.77736	.763312	64090	.777360
.22264	-.763312	64090	.222640
0.8	1.37638	1	.800000
.2	-1.37638	1	.200000
0.8	.905703	6	.800000
.2	-.905703	6	.200000
0.8	.879058	10	.800000
.2	-.879058	10	.200000
0.8	.863279	17	.800000
.2	-.863279	17	.200000
0.8	.847653	60	.800000
.2	-.847653	60	.200000
0.8	.847019	67	.800000
.2	-.847019	67	.200000
0.8	.845230	100	.800000
.2	-.845230	100	.200000
0.8	.843468	195	.800000
.2	-.843468	195	.200000
0.8	.842221	600	.800000
.2	-.842221	600	.200000
0.8	.842219	602	.800000
.2	-.842219	602	.200000
0.8	.841981	1000	.800000
.2	-.841981	1000	.200000
0.8	.841894	1318	.800000
.2	-.841894	1318	.200000
0.8	.841681	6000	.800000
.2	-.841681	6000	.200000
0.8	.841674	6756	.800000
.2	-.841674	6756	.200000
0.8	.841657	10000	.800000
.2	-.841657	10000	.200000
0.8	.841650	12429	.800000
.2	-.841650	12429	.200000
0.8	.841627	60000	.800000
.2	-.841627	60000	.200000
0.8	.841627	65895	.800000
.2	-.841627	65895	.200000
0.850525	1.97064	1	.850525
.149475	-1.97064	1	.149475
0.850525	1.13687	6	.850525
.149475	-1.13687	6	.149475
0.850525	1.09557	10	.850525
.149475	-1.09557	10	.149475
0.850525	1.09557	10	.850525
.149475	-1.09557	10	.149475
0.850525	1.04776	60	.850524
.149475	-1.04776	60	.149476
0.850525	1.04657	69	.850525
.149475	-1.04657	69	.149475
0.850525	1.04411	100	.850524
.149475	-1.04411	100	.149476
0.850525	1.04282	131	.850524
.149475	-1.04282	131	.149476
0.850525	1.03959	600	.850525
.149475	-1.03959	600	.149475
0.850525	1.03958	605	.850525
.149475	-1.03958	605	.149475
0.850525	1.03923	1000	.850526
.149475	-1.03923	1000	.149474
0.850525	1.03906	1441	.850524
.149475	-1.03906	1441	.149476
0.850525	1.03878	6000	.850526
.149475	-1.03878	6000	.149474
0.850525	1.03877	6915	.850526
.149475	-1.03877	6915	.149474
0.850525	1.03874	10000	.850525
.149475	-1.03874	10000	.149475
0.850525	1.03872	15722	.850525
.149475	-1.03872	15722	.149475
0.850525	1.03870	60000	.850526
.149475	-1.03870	60000	.149474
0.850525	1.03870	61188	.850526
.149475	-1.03870	61188	.149474
0.9	3.07768	1	.900000
.1	-3.07768	1	.100000
0.9	1.43976	6	.900001
.1	-1.43976	6	.999994E-1
0.9	1.37218	10	.899999
.1	-1.37218	10	.100001
0.9	1.34061	15	.900001
.1	-1.34061	15	.999993E-1
0.9	1.29582	60	.900000
.1	-1.29582	60	.100000
0.9	1.29536	62	.900001
.1	-1.29536	62	.999993E-1
0.9	1.29007	100	.899999
.1	-1.29007	100	.100001
0.9	1.28726	149	.900000
.1	-1.28726	149	.999998E-1
0.9	1.28296	600	.899999
.1	-1.28296	600	.100001
0.9	1.28291	623	.900000
.1	-1.28291	623	.100000
0.9	1.28240	1000	.900000
.1	-1.28240	1000	.999998E-1
0.9	1.28213	1476	.900001
.1	-1.28213	1476	.999992E-1
0.9	1.28169	6000	.900000
.1	-1.28169	6000	.100000
0.9	1.28168	6406	.899999
.1	-1.28168	6406	.100001
0.9	1.28164	10000	.900001
.1	-1.28164	10000	.999993E-1
0.9	1.28160	18729	.900001
.1	-1.28160	18729	.999994E-1
0.9	1.28157	60000	.900001
.1	-1.28157	60000	.999992E-1
0.9	1.28156	64269	.899999
.1	-1.28156	64269	.100001
0.9087531	3.39236	1	.908753
.0912469	-3.39236	1	.912470E-1
0.9087531	1.50715	6	.908753
.0912469	-1.50715	6	.912467E-1
0.9087531	1.43256	10	.908753
.0912469	-1.43256	10	.912470E-1
0.9087531	1.40834	13	.908753
.0912469	-1.40834	13	.912474E-1
0.9087531	1.34873	60	.908754
.0912469	-1.34873	60	.912462E-1
0.9087531	1.34797	63	.908752
.0912469	-1.34797	63	.912476E-1
0.9087531	1.34244	100	.908753
.0912469	-1.34244	100	.912465E-1
0.9087531	1.34208	104	.908754
.0912469	-1.34208	104	.912463E-1
0.9087531	1.33466	600	.908753
.0912469	-1.33466	600	.912469E-1
0.9087531	1.33462	616	.908753
.0912469	-1.33462	616	.912469E-1
0.9087531	1.33404	1000	.908753
.0912469	-1.33404	1000	.912472E-1
0.9087531	1.33372	1522	.908752
.0912469	-1.33372	1522	.912476E-1
0.9087531	1.33327	6000	.908753
.0912469	-1.33327	6000	.912469E-1
0.9087531	1.33325	6696	.908752
.0912469	-1.33325	6696	.912476E-1
0.9087531	1.33321	10000	.908753
.0912469	-1.33321	10000	.912466E-1
0.9087531	1.33320	10970	.908753
.0912469	-1.33320	10970	.912469E-1
0.9087531	1.33313	60000	.908753
.0912469	-1.33313	60000	.912471E-1
0.9087531	1.33313	64008	.908753
.0912469	-1.33313	64008	.912469E-1
0.91	3.44202	1	.910000
.09	-3.44202	1	.900001E-1
0.91	1.51724	6	.910001
.09	-1.51724	6	.899994E-1
0.91	1.44156	10	.910000
.09	-1.44156	10	.899999E-1
0.91	1.39830	17	.910000
.09	-1.39830	17	.899999E-1
0.91	1.35657	60	.910000
.09	-1.35657	60	.900002E-1
0.91	1.35606	62	.910001
.09	-1.35606	62	.899992E-1
0.91	1.35020	100	.910000
.09	-1.35020	100	.899999E-1
0.91	1.34779	134	.910000
.09	-1.34779	134	.900001E-1
0.91	1.34232	600	.910000
.09	-1.34232	600	.900000E-1
0.91	1.34226	622	.909999
.09	-1.34226	622	.900007E-1
0.91	1.34169	1000	.909999
.09	-1.34169	1000	.900006E-1
0.91	1.34148	1297	.910000
.09	-1.34148	1297	.899997E-1
0.91	1.34091	6000	.910000
.09	-1.34091	6000	.900002E-1
0.91	1.34090	6304	.909999
.09	-1.34090	6304	.900006E-1
0.91	1.34085	10000	.910000
.09	-1.34085	10000	.899998E-1
0.91	1.34080	18871	.909999
.09	-1.34080	18871	.900008E-1
0.91	1.34077	60000	.910000
.09	-1.34077	60000	.900001E-1
0.91	1.34077	60366	.910000
.09	-1.34077	60366	.900001E-1
0.9191611	3.85256	1	.919161
.0808389	-3.85256	1	.808390E-1
0.9191611	1.59565	6	.919161
.0808389	-1.59565	6	.808394E-1
0.9191611	1.51118	10	.919160
.0808389	-1.51118	10	.808395E-1
0.9191611	1.46729	16	.919161
.0808389	-1.46729	16	.808392E-1
0.9191611	1.41692	60	.919161
.0808389	-1.41692	60	.808390E-1
0.9191611	1.41608	63	.919161
.0808389	-1.41608	63	.808387E-1
0.9191611	1.40988	100	.919161
.0808389	-1.40988	100	.808389E-1
0.9191611	1.40568	167	.919162
.0808389	-1.40568	167	.808384E-1
0.9191611	1.40118	600	.919161
.0808389	-1.40118	600	.808386E-1
0.9191611	1.40099	673	.919161
.0808389	-1.40099	673	.808390E-1
0.9191611	1.40049	1000	.919162
.0808389	-1.40049	1000	.808384E-1
0.9191611	1.39999	1937	.919162
.0808389	-1.39999	1937	.808382E-1
0.9191611	1.39962	6000	.919161
.0808389	-1.39962	6000	.808394E-1
0.9191611	1.39962	6233	.919162
.0808389	-1.39962	6233	.808385E-1
0.9191611	1.39955	10000	.919160
.0808389	-1.39955	10000	.808396E-1
0.9191611	1.39951	18384	.919162
.0808389	-1.39951	18384	.808385E-1
0.9191611	1.39947	60000	.919161
.0808389	-1.39947	60000	.808386E-1
0.9191611	1.39947	69671	.919162
.0808389	-1.39947	69671	.808383E-1
0.92	3.89474	1	.920000
.08	-3.89474	1	.800001E-1
0.92	1.60325	6	.920000
.08	-1.60325	6	.800001E-1
0.92	1.51790	10	.920000
.08	-1.51790	10	.799998E-1
0.92	1.46935	17	.919999
.08	-1.46935	17	.800005E-1
0.92	1.42271	60	.920001
.08	-1.42271	60	.799994E-1
0.92	1.42159	64	.920000
.08	-1.42159	64	.800001E-1
0.92	1.41560	100	.920000
.08	-1.41560	100	.799998E-1
0.92	1.41136	167	.920001
.08	-1.41136	167	.799994E-1
0.92	1.40682	600	.920001
.08	-1.40682	600	.799993E-1
0.92	1.40661	680	.920000
.08	-1.40661	680	.800000E-1
0.92	1.40612	1000	.920000
.08	-1.40612	1000	.799996E-1
0.92	1.40597	1158	.919999
.08	-1.40597	1158	.800006E-1
0.92	1.40525	6000	.920001
.08	-1.40525	6000	.799994E-1
0.92	1.40524	6279	.920000
.08	-1.40524	6279	.799997E-1
0.92	1.40518	10000	.920001
.08	-1.40518	10000	.799994E-1
0.92	1.40516	11353	.919999
.08	-1.40516	11353	.800005E-1
0.92	1.40509	60000	.920000
.08	-1.40509	60000	.799998E-1
0.92	1.40509	68641	.920000
.08	-1.40509	68641	.799995E-1
0.9261039	4.22987	1	.926104
.0738961	-4.22987	1	.738961E-1
0.9261039	1.66094	6	.926104
.0738961	-1.66094	6	.738957E-1
0.9261039	1.56869	10	.926104
.0738961	-1.56869	10	.738958E-1
0.9261039	1.51640	17	.926104
.0738961	-1.51640	17	.738963E-1
0.9261039	1.46629	60	.926104
.0738961	-1.46629	60	.738955E-1
0.9261039	1.46567	62	.926104
.0738961	-1.46567	62	.738958E-1
0.9261039	1.45866	100	.926104
.0738961	-1.45866	100	.738963E-1
0.9261039	1.45735	113	.926103
.0738961	-1.45735	113	.738966E-1
0.9261039	1.44924	600	.926103
.0738961	-1.44924	600	.738965E-1
0.9261039	1.44916	629	.926104
.0738961	-1.44916	629	.738956E-1
0.9261039	1.44849	1000	.926103
.0738961	-1.44849	1000	.738968E-1
0.9261039	1.44800	1802	.926104
.0738961	-1.44800	1802	.738955E-1
0.9261039	1.44756	6000	.926104
.0738961	-1.44756	6000	.738962E-1
0.9261039	1.44755	6218	.926103
.0738961	-1.44755	6218	.738967E-1
0.9261039	1.44749	10000	.926104
.0738961	-1.44749	10000	.738955E-1
0.9261039	1.44745	15630	.926105
.0738961	-1.44745	15630	.738955E-1
0.9261039	1.44739	60000	.926104
.0738961	-1.44739	60000	.738965E-1
0.9261039	1.44739	67155	.926104
.0738961	-1.44739	67155	.738962E-1
0.93	4.47374	1	.930000
.07	-4.47374	1	.700000E-1
0.93	1.70021	6	.930000
.07	-1.70021	6	.699995E-1
0.93	1.60308	10	.930001
.07	-1.60308	10	.699995E-1
0.93	1.59063	11	.930000
.07	-1.59063	11	.700001E-1
0.93	1.49560	60	.930000
.07	-1.49560	60	.699998E-1
0.93	1.49298	69	.929999
.07	-1.49298	69	.700006E-1
0.93	1.48761	100	.930000
.07	-1.48761	100	.700002E-1
0.93	1.48523	125	.930000
.07	-1.48523	125	.700002E-1
0.93	1.47775	600	.930000
.07	-1.47775	600	.699997E-1
0.93	1.47762	643	.930000
.07	-1.47762	643	.699996E-1
0.93	1.47696	1000	.929999
.07	-1.47696	1000	.700006E-1
0.93	1.47646	1755	.930000
.07	-1.47646	1755	.699999E-1
0.93	1.47599	6000	.930000
.07	-1.47599	6000	.699995E-1
0.93	1.47596	6860	.930000
.07	-1.47596	6860	.700003E-1
0.93	1.47591	10000	.930000
.07	-1.47591	10000	.699998E-1
0.93	1.47585	18947	.930000
.07	-1.47585	18947	.700004E-1
0.93	1.47581	60000	.930000
.07	-1.47581	60000	.700001E-1
0.93	1.47581	69780	.930000
.07	-1.47581	69780	.699997E-1
0.9372278	5.00497	1	.937228
.0627722	-5.00497	1	.627722E-1
0.9372278	1.77903	6	.937227
.0627722	-1.77903	6	.627726E-1
0.9372278	1.67165	10	.937228
.0627722	-1.67165	10	.627719E-1
0.9372278	1.63725	13	.937228
.0627722	-1.63725	13	.627721E-1
0.9372278	1.55358	60	.937228
.0627722	-1.55358	60	.627720E-1
0.9372278	1.55221	64	.937228
.0627722	-1.55221	64	.627717E-1
0.9372278	1.54484	100	.937228
.0627722	-1.54484	100	.627719E-1
0.9372278	1.54344	112	.937228
.0627722	-1.54344	112	.627725E-1
0.9372278	1.53405	600	.937228
.0627722	-1.53405	600	.627722E-1
0.9372278	1.53390	645	.937228
.0627722	-1.53390	645	.627723E-1
0.9372278	1.53319	1000	.937227
.0627722	-1.53319	1000	.627727E-1
0.9372278	1.53295	1237	.937228
.0627722	-1.53295	1237	.627719E-1
0.9372278	1.53212	6000	.937227
.0627722	-1.53212	6000	.627728E-1
0.9372278	1.53209	6986	.937227
.0627722	-1.53209	6986	.627728E-1
0.9372278	1.53204	10000	.937228
.0627722	-1.53204	10000	.627721E-1
0.9372278	1.53199	16528	.937228
.0627722	-1.53199	16528	.627720E-1
0.9372278	1.53193	60000	.937228
.0627722	-1.53193	60000	.627725E-1
0.9372278	1.53193	66042	.937228
.0627722	-1.53193	66042	.627722E-1
0.94	5.24218	1	.940000
.06	-5.24218	1	.600000E-1
0.94	1.81165	6	.940000
.06	-1.81165	6	.600002E-1
0.94	1.69984	10	.940000
.06	-1.69984	10	.600001E-1
0.94	1.67387	12	.940000
.06	-1.67387	12	.600003E-1
0.94	1.57723	60	.940000
.06	-1.57723	60	.600005E-1
0.94	1.57581	64	.940000
.06	-1.57581	64	.600001E-1
0.94	1.56817	100	.940000
.06	-1.56817	100	.600002E-1
0.94	1.56227	178	.940000
.06	-1.56227	178	.600003E-1
0.94	1.55699	600	.940000
.06	-1.55699	600	.600001E-1
0.94	1.55697	607	.940001
.06	-1.55697	607	.599994E-1
0.94	1.55610	1000	.940000
.06	-1.55610	1000	.600004E-1
0.94	1.55567	1476	.940000
.06	-1.55567	1476	.600005E-1
0.94	1.55500	6000	.940001
.06	-1.55500	6000	.599994E-1
0.94	1.55499	6152	.940000
.06	-1.55499	6152	.599999E-1
0.94	1.55491	10000	.940000
.06	-1.55491	10000	.599996E-1
0.94	1.55488	12457	.940000
.06	-1.55488	12457	.600000E-1
0.94	1.55480	60000	.940001
.06	-1.55480	60000	.599995E-1
0.94	1.55479	69449	.940000
.06	-1.55479	69449	.600003E-1
0.9463196	5.87340	1	.946320
.0536804	-5.87340	1	.536804E-1
0.9463196	1.89195	6	.946319
.0536804	-1.89195	6	.536807E-1
0.9463196	1.76880	10	.946319
.0536804	-1.76880	10	.536806E-1
0.9463196	1.70589	16	.946319
.0536804	-1.70589	16	.536807E-1
0.9463196	1.63464	60	.946320
.0536804	-1.63464	60	.536805E-1
0.9463196	1.63141	69	.946320
.0536804	-1.63141	69	.536801E-1
0.9463196	1.62476	100	.946319
.0536804	-1.62476	100	.536808E-1
0.9463196	1.62007	147	.946320
.0536804	-1.62007	147	.536803E-1
0.9463196	1.61258	600	.946319
.0536804	-1.61258	600	.536808E-1
0.9463196	1.61230	679	.946319
.0536804	-1.61230	679	.536807E-1
0.9463196	1.61162	1000	.946320
.0536804	-1.61162	1000	.536801E-1
0.9463196	1.61100	1744	.946320
.0536804	-1.61100	1744	.536803E-1
0.9463196	1.61041	6000	.946320
.0536804	-1.61041	6000	.536805E-1
0.9463196	1.61040	6380	.946320
.0536804	-1.61040	6380	.536800E-1
0.9463196	1.61031	10000	.946319
.0536804	-1.61031	10000	.536809E-1
0.9463196	1.61027	14798	.946320
.0536804	-1.61027	14798	.536801E-1
0.9463196	1.61019	60000	.946319
.0536804	-1.61019	60000	.536808E-1
0.9463196	1.61019	65268	.946319
.0536804	-1.61019	65268	.536806E-1
0.95	6.31375	1	.950000
.05	-6.31375	1	.500000E-1
0.95	1.94318	6	.950000
.05	-1.94318	6	.500000E-1
0.95	1.81246	10	.950000
.05	-1.81246	10	.500001E-1
0.95	1.81246	10	.950000
.05	-1.81246	10	.500001E-1
0.95	1.67065	60	.950000
.05	-1.67065	60	.499999E-1
0.95	1.66864	65	.950000
.05	-1.66864	65	.499996E-1
0.95	1.66023	100	.950000
.05	-1.66023	100	.500004E-1
0.95	1.65630	134	.950000
.05	-1.65630	134	.500005E-1
0.95	1.64740	600	.950000
.05	-1.64740	600	.499997E-1
0.95	1.64734	614	.950000
.05	-1.64734	614	.499999E-1
0.95	1.64638	1000	.950000
.05	-1.64638	1000	.499999E-1
0.95	1.64571	1779	.950000
.05	-1.64571	1779	.500001E-1
0.95	1.64511	6000	.950000
.05	-1.64511	6000	.499998E-1
0.95	1.64508	6710	.950000
.05	-1.64508	6710	.500001E-1
0.95	1.64501	10000	.950000
.05	-1.64501	10000	.499996E-1
0.95	1.64496	14461	.950000
.05	-1.64496	14461	.499999E-1
0.95	1.64488	60000	.950000
.05	-1.64488	60000	.499999E-1
0.95	1.64488	67045	.950000
.05	-1.64488	67045	.499996E-1
0.9501658	6.33511	1	.950166
.0498342	-6.33511	1	.498342E-1
0.9501658	1.94558	6	.950166
.0498342	-1.94558	6	.498339E-1
0.9501658	1.81450	10	.950166
.0498342	-1.81450	10	.498339E-1
0.9501658	1.81450	10	.950166
.0498342	-1.81450	10	.498339E-1
0.9501658	1.67232	60	.950166
.0498342	-1.67232	60	.498343E-1
0.9501658	1.66890	69	.950166
.0498342	-1.66890	69	.498345E-1
0.9501658	1.66188	100	.950166
.0498342	-1.66188	100	.498343E-1
0.9501658	1.65638	155	.950166
.0498342	-1.65638	155	.498339E-1
0.9501658	1.64901	600	.950165
.0498342	-1.64901	600	.498345E-1
0.9501658	1.64873	674	.950166
.0498342	-1.64873	674	.498345E-1
0.9501658	1.64799	1000	.950166
.0498342	-1.64799	1000	.498344E-1
0.9501658	1.64743	1579	.950166
.0498342	-1.64743	1579	.498343E-1
0.9501658	1.64672	6000	.950166
.0498342	-1.64672	6000	.498340E-1
0.9501658	1.64669	6637	.950165
.0498342	-1.64669	6637	.498346E-1
0.9501658	1.64662	10000	.950166
.0498342	-1.64662	10000	.498338E-1
0.9501658	1.64655	17816	.950166
.0498342	-1.64655	17816	.498341E-1
0.9501658	1.64649	60000	.950166
.0498342	-1.64649	60000	.498341E-1
0.9501658	1.64649	61878	.950166
.0498342	-1.64649	61878	.498340E-1
0.96	7.91582	1	.960000
.04	-7.91582	1	.400000E-1
0.96	2.10431	6	.960000
.04	-2.10431	6	.399998E-1
0.96	1.94810	10	.960000
.04	-1.94810	10	.400000E-1
0.96	1.89887	13	.960000
.04	-1.89887	13	.400003E-1
0.96	1.78085	60	.960000
.04	-1.78085	60	.399996E-1
0.96	1.77986	62	.960000
.04	-1.77986	62	.399997E-1
0.96	1.76866	100	.960000
.04	-1.76866	100	.399999E-1
0.96	1.76134	168	.960000
.04	-1.76134	168	.400000E-1
0.96	1.75366	600	.960000
.04	-1.75366	600	.399997E-1
0.96	1.75352	629	.960000
.04	-1.75352	629	.399999E-1
0.96	1.75247	1000	.960000
.04	-1.75247	1000	.399997E-1
0.96	1.75182	1565	.960000
.04	-1.75182	1565	.400003E-1
0.96	1.75098	6000	.960000
.04	-1.75098	6000	.400002E-1
0.96	1.75096	6418	.960000
.04	-1.75096	6418	.400003E-1
0.96	1.75086	10000	.960000
.04	-1.75086	10000	.400003E-1
0.96	1.75082	13065	.960000
.04	-1.75082	13065	.400002E-1
0.96	1.75072	60000	.960000
.04	-1.75072	60000	.399996E-1
0.96	1.75071	64445	.960000
.04	-1.75071	64445	.400003E-1
0.9646464	8.96655	1	.964646
.0353536	-8.96655	1	.353536E-1
0.9646464	2.19376	6	.964646
.0353536	-2.19376	6	.353537E-1
0.9646464	2.02231	10	.964646
.0353536	-2.02231	10	.353535E-1
0.9646464	1.94546	15	.964646
.0353536	-1.94546	15	.353538E-1
0.9646464	1.84006	60	.964646
.0353536	-1.84006	60	.353535E-1
0.9646464	1.83798	64	.964646
.0353536	-1.83798	64	.353536E-1
0.9646464	1.82684	100	.964647
.0353536	-1.82684	100	.353534E-1
0.9646464	1.81948	160	.964646
.0353536	-1.81948	160	.353538E-1
0.9646464	1.81057	600	.964646
.0353536	-1.81057	600	.353538E-1
0.9646464	1.81037	641	.964647
.0353536	-1.81037	641	.353533E-1
0.9646464	1.80928	1000	.964646
.0353536	-1.80928	1000	.353538E-1
0.9646464	1.80906	1130	.964646
.0353536	-1.80906	1130	.353537E-1
0.9646464	1.80767	6000	.964646
.0353536	-1.80767	6000	.353540E-1
0.9646464	1.80766	6255	.964646
.0353536	-1.80766	6255	.353537E-1
0.9646464	1.80755	10000	.964647
.0353536	-1.80755	10000	.353533E-1
0.9646464	1.80754	10357	.964646
.0353536	-1.80754	10357	.353536E-1
0.9646464	1.80739	60000	.964647
.0353536	-1.80739	60000	.353532E-1
0.9646464	1.80738	69770	.964646
.0353536	-1.80738	69770	.353537E-1
0.97	10.5789	1	.970000
.03	-10.5789	1	.300000E-1
0.97	2.31326	6	.970000
.03	-2.31326	6	.300001E-1
0.97	2.12023	10	.970000
.03	-2.12023	10	.300002E-1
0.97	2.09614	11	.970000
.03	-2.09614	11	.299999E-1
0.97	1.91703	60	.970000
.03	-1.91703	60	.299997E-1
0.97	1.91527	63	.970000
.03	-1.91527	63	.300000E-1
0.97	1.90237	100	.970000
.03	-1.90237	100	.300000E-1
0.97	1.89389	164	.970000
.03	-1.89389	164	.300001E-1
0.97	1.88436	600	.970000
.03	-1.88436	600	.299997E-1
0.97	1.88416	635	.970000
.03	-1.88416	635	.300000E-1
0.97	1.88293	1000	.970000
.03	-1.88293	1000	.300000E-1
0.97	1.88217	1553	.970000
.03	-1.88217	1553	.299999E-1
0.97	1.88115	6000	.970000
.03	-1.88115	6000	.299999E-1
0.97	1.88113	6358	.970000
.03	-1.88113	6358	.299999E-1
0.97	1.88101	10000	.970000
.03	-1.88101	10000	.299998E-1
0.97	1.88093	15654	.970000
.03	-1.88093	15654	.300000E-1
0.97	1.88083	60000	.970000
.03	-1.88083	60000	.299999E-1
0.97	1.88083	64756	.970000
.03	-1.88083	64756	.299998E-1
0.9723435	11.4804	1	.972343
.0276565	-11.4804	1	.276566E-1
